"year" "time1" "time2" "FFmsy" "MSY" "BBmsy" "SBSBmsy" "Fmsy" "BmsyB0" "SBmsySB0"
"1" 1972 164 160 0.096 1662400 1.664 1.812 0.203 0.311 0.279
"2" 1973 160 156 0.102 1755600 1.922 2.107 0.209 0.318 0.287
"3" 1974 156 152 0.161 1665200 1.809 2.034 0.202 0.312 0.281
"4" 1975 152 148 0.147 1648400 1.475 1.63 0.2 0.313 0.281
"5" 1976 148 144 0.166 1656800 1.418 1.548 0.203 0.31 0.279
"6" 1977 144 140 0.178 1670000 1.516 1.634 0.201 0.315 0.284
"7" 1978 140 136 0.149 1685200 1.714 1.889 0.203 0.316 0.284
"8" 1979 136 132 0.158 1699600 1.618 1.786 0.206 0.313 0.282
"9" 1980 132 128 0.171 1668000 1.51 1.67 0.201 0.315 0.284
"10" 1981 128 124 0.193 1709600 1.384 1.499 0.203 0.32 0.289
"11" 1982 124 120 0.175 1700400 1.527 1.629 0.203 0.318 0.286
"12" 1983 120 116 0.167 1715600 1.987 2.129 0.203 0.321 0.29
"13" 1984 116 112 0.2 1712000 2.174 2.413 0.206 0.315 0.284
"14" 1985 112 108 0.181 1709200 2.008 2.178 0.205 0.317 0.285
"15" 1986 108 104 0.187 1717200 2.181 2.372 0.206 0.317 0.285
"16" 1987 104 100 0.165 1727600 2.352 2.537 0.207 0.317 0.286
"17" 1988 100 96 0.153 1714000 2.632 2.905 0.206 0.316 0.284
"18" 1989 96 92 0.214 1679600 2.371 2.627 0.202 0.316 0.285
"19" 1990 92 88 0.219 1733600 2.17 2.338 0.205 0.321 0.29
"20" 1991 88 84 0.257 1752000 2.158 2.372 0.207 0.322 0.29
"21" 1992 84 80 0.266 1707200 2.071 2.262 0.205 0.317 0.285
"22" 1993 80 76 0.267 1700000 2.016 2.163 0.203 0.317 0.286
"23" 1994 76 72 0.25 1718400 2.173 2.333 0.204 0.319 0.288
"24" 1995 72 68 0.264 1660000 2.284 2.507 0.201 0.314 0.282
"25" 1996 68 64 0.276 1674800 2.198 2.378 0.2 0.318 0.287
"26" 1997 64 60 0.261 1663600 2.199 2.38 0.202 0.313 0.281
"27" 1998 60 56 0.29 1687200 2.45 2.637 0.201 0.319 0.288
"28" 1999 56 52 0.299 1565200 2.583 2.836 0.195 0.305 0.274
"29" 2000 52 48 0.316 1612000 2.336 2.555 0.195 0.314 0.283
"30" 2001 48 44 0.323 1650800 2.12 2.299 0.199 0.315 0.284
"31" 2002 44 40 0.351 1680800 2.035 2.198 0.199 0.321 0.29
"32" 2003 40 36 0.459 1666000 1.74 1.916 0.202 0.314 0.282
"33" 2004 36 32 0.513 1658000 1.605 1.668 0.201 0.314 0.282
"34" 2005 32 28 0.431 1646400 1.779 1.885 0.196 0.318 0.287
"35" 2006 28 24 0.496 1622400 1.883 2.007 0.198 0.311 0.279
"36" 2007 24 20 0.487 1636800 2.008 2.143 0.198 0.313 0.281
"37" 2008 20 16 0.588 1613200 1.787 1.917 0.194 0.315 0.284
"38" 2009 16 12 0.62 1709600 1.734 1.813 0.204 0.318 0.286
"39" 2010 12 8 0.558 1625600 1.787 1.884 0.194 0.318 0.287
"40" 2011 8 4 0.654 1534000 1.706 1.822 0.194 0.301 0.269
